"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PLSCR4",1.53080381767467e-05,-0.395203869592484,0.06,0.104,0.204806242766694
"BET1",1.54565920040685e-05,-0.3669299583693,0.336,0.433,0.206793744422433
"TEX2",1.56612900920089e-05,0.889829425482506,0.126,0.091,0.209532400140987
"RPP38",1.58723637419323e-05,0.392214839082128,0.339,0.312,0.212356354503312
"OSBPL9",1.61292658323843e-05,-0.324394786515784,0.216,0.301,0.21579344757147
"SLC39A4",1.62057133709984e-05,0.276716437197726,0.403,0.377,0.216816239190587
"KIF2C",1.6236274296092e-05,-0.532124288943389,0.071,0.117,0.217225113807415
"C15orf39",1.63780856011206e-05,0.810474826802667,0.118,0.084,0.219122407257393
"ENTPD4",1.65731467079855e-05,-0.28387093720421,0.074,0.123,0.221732129806138
"ZNF131",1.68971159035049e-05,0.446968705283565,0.35,0.33,0.226066513672992
"DDX58",1.72742326122388e-05,-0.413311559905158,0.071,0.118,0.231111958119143
"KCTD13",1.73949412992932e-05,0.519769592191643,0.216,0.179,0.232726919643243
"ZNF567",1.74242195761573e-05,-0.380036448811491,0.071,0.118,0.233118633709409
"SAP130",1.75662361808493e-05,0.738583684613649,0.115,0.081,0.235018673863583
"EVA1C",1.77211209151569e-05,0.639992411105685,0.237,0.2,0.237090876723885
"ATXN7",1.80250683296323e-05,-0.376423814046471,0.072,0.121,0.24115738918215
"UNC45A",1.80993870415836e-05,0.468601321776913,0.267,0.234,0.242151699229347
"MRFAP1",1.8118566593086e-05,-0.492854456742306,0.499,0.56,0.242408302448898
"MEX3D",1.83598279655434e-05,0.864626052224809,0.106,0.073,0.245636138351005
"RUFY1",1.83644341342655e-05,0.497506069830315,0.259,0.225,0.245697764282338
"RAB40C",1.83910918423052e-05,0.758257599425783,0.186,0.149,0.246054417758202
"RBM34",1.84553917983035e-05,-0.353697482196487,0.059,0.103,0.246914686869503
"SIAH1",1.85116834253765e-05,0.568244763476234,0.293,0.264,0.247667812548113
"CCDC90B",1.86148907105588e-05,-0.392592060748819,0.357,0.442,0.249048622816566
"ZC2HC1A",1.86159741151604e-05,-0.269159321094185,0.12,0.181,0.249063117686731
"DENR",1.92994235507587e-05,-0.426765071389484,0.372,0.468,0.2582069876856
"SERPINB6",1.96626271410643e-05,-0.42903861375606,0.186,0.253,0.2630662885203
