"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CCND1",4.17442054208601e-66,0.393446096658958,0.891,0.59,1.40652925745046e-61
"TOX3",5.28345924759137e-66,0.266331433285915,0.489,0.207,1.78020875888344e-61
"TNNT1",1.70428406083983e-65,0.297470573743973,0.151,0.014,5.74241471459373e-61
"F3",1.78816309358662e-65,0.590664843773431,0.567,0.306,6.02503672753074e-61
"TNFRSF11B",1.80977585181791e-65,0.286035339237022,0.162,0.019,6.09785875511526e-61
"CCL26",1.04793348193726e-64,0.602615016106176,0.152,0.014,3.53090707403939e-60
"ITM2C",1.32719508185662e-64,0.29044152669021,0.885,0.564,4.47185110880769e-60
"RPL3",5.09455273072359e-64,-0.27269526535702,1,0.999,1.71655859709001e-59
"RAMP1",6.3995951050869e-64,0.350795098712103,0.321,0.121,2.15627957470798e-59
"COX4I1",8.63708713944918e-64,-0.338369344502105,1,0.995,2.91018014076601e-59
"FABP1",1.06381476947341e-63,-0.932524105525876,0.611,0.734,3.5844174842637e-59
"BRD2",1.85363815812407e-63,0.294078951805329,0.939,0.615,6.24564840998325e-59
"IGFBP6",1.12897143257728e-62,0.433967327456126,0.145,0.013,3.80395634492589e-58
"RPS4Y1",1.38209235435536e-62,-0.570167746504222,0.24,0.449,4.65682197876495e-58
"B3GNT7",1.39216605000632e-62,0.252041868216218,0.194,0.039,4.69076428889131e-58
"LRRC26",2.72007459768034e-62,0.312817750865732,0.191,0.038,9.16501934942413e-58
"RPLP1",4.44279200405637e-62,-0.252615295041172,1,1,1.49695433784675e-57
"LMNA",7.80438967676431e-62,0.405960528592009,0.985,0.811,2.62961105768897e-57
"NENF",1.34089339715355e-61,0.252147127421894,0.974,0.738,4.51800621236917e-57
"IRS2",1.31166531334324e-60,0.460525684354169,0.728,0.409,4.4195251067787e-56
"IGFBP2",5.05293357468417e-60,0.669347448985672,0.796,0.652,1.70253543865408e-55
"RPL22L1",6.20720750607314e-60,0.534307467576263,0.94,0.723,2.09145649709628e-55
"RPS3A",1.2045829990155e-59,-0.29324185506425,1,0.999,4.05872195688284e-55
