"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"BHLHE40",5.6278657880493e-85,0.27468081251646,0.732,0.523,7.86212850590487e-81
"NDRG1",1.89255426402598e-84,0.301991018499103,0.655,0.436,2.64389830684429e-80
"ATP6V1G1",1.97819308044682e-84,0.304750179291001,0.972,0.864,2.76353573338421e-80
"CDKN1A",3.13539837752503e-84,0.291202297497829,0.814,0.608,4.38015153340247e-80
"DUSP1",4.06878409275313e-84,0.394762059406191,0.888,0.699,5.68409137757612e-80
"KCNK1",7.13989068976227e-84,0.285567667067986,0.609,0.405,9.97442729359789e-80
"TUBB2A",8.74290657052489e-84,0.251378858489262,0.63,0.415,1.22138404790233e-79
"MUC13",9.95221566346371e-84,0.42117090355327,0.901,0.715,1.39032452818588e-79
"CYSTM1",1.16224796006891e-83,0.355982299746893,0.961,0.851,1.62366040021627e-79
"TSPAN3",6.89467457208704e-83,0.266437700258885,0.881,0.69,9.6318603772056e-79
"RPL14",3.03161390807209e-82,-0.257754553454734,0.996,0.991,4.23516462957671e-78
"CRIP1",6.76133944244009e-82,0.260282962056901,0.444,0.259,9.4455912010888e-78
"TPM2",1.44632890445008e-81,0.298130829793012,0.416,0.236,2.02052147951676e-77
"MYDGF",9.65831769939917e-80,0.319524063116947,0.964,0.828,1.34926698260606e-75
"RPL3",1.66152829689508e-79,-0.263349179025901,0.995,0.988,2.32115503076243e-75
"RPL36A",1.94550773777873e-79,-0.367095665403469,0.981,0.961,2.71787430967688e-75
"MANF",1.40949331700248e-78,0.274436994607338,0.886,0.691,1.96906216385246e-74
"CALM3",2.77325457525023e-78,0.277428703894711,0.875,0.703,3.87423664162457e-74
"LSR",6.49333766991452e-78,0.257119051476269,0.933,0.772,9.07119272487059e-74
"AMN",1.42683952136227e-77,0.309848898984719,0.561,0.375,1.99329481134309e-73
"CIB1",1.97737969536895e-77,0.281415692070859,0.963,0.839,2.76239943443042e-73
"HSP90B1",5.42894748984327e-77,0.445226759898522,0.973,0.869,7.58423964331106e-73
"NDUFA4L2",3.24011229762884e-76,0.594638927121113,0.193,0.076,4.52643687978749e-72
"AQP3",7.62268578198345e-76,0.25809425585147,0.231,0.099,1.06488920374309e-71
"TIMP1",2.25974237630738e-75,0.586546855567258,0.936,0.796,3.15686009970141e-71
"RPL35",2.9457057451797e-75,-0.298623292929078,0.998,0.996,4.11515092601604e-71
"DDIT4",3.68678830115734e-75,0.449597271722267,0.789,0.598,5.1504432567168e-71
"RPL10",1.25602073482367e-74,-0.298163337744537,0.998,0.997,1.75466096654867e-70
"CD44",2.20809333690407e-74,0.271610970917076,0.845,0.676,3.08470639165498e-70
"P4HB",1.31736395509448e-73,0.318092622564503,0.97,0.865,1.84035744526699e-69
"RPS8",1.20697509809327e-72,-0.260704393280939,0.995,0.993,1.6861442120363e-68
"HSP90AA1",8.10479174384828e-72,0.490480704227434,0.988,0.943,1.1322394066156e-67
"KRT19",1.24938962229456e-71,0.630489361305762,0.98,0.935,1.7453973023455e-67
"GNAS",6.43761464655149e-71,0.319292913990724,0.961,0.836,8.99334766123244e-67
"AGR2",1.10877777835526e-70,0.855515261655092,0.956,0.882,1.54896255636229e-66
"HSPA1A",1.93564214529713e-70,0.535400923004959,0.667,0.447,2.70409207698009e-66
"ANXA11",2.78492176028438e-70,0.2578362705534,0.946,0.795,3.89053569911727e-66
"GADD45B",3.71303575508234e-70,0.294783814899994,0.707,0.505,5.18711094985002e-66
"S100A14",1.40899680540368e-69,0.496457078185575,0.935,0.837,1.96836853714894e-65
"LMO7",3.69652354377137e-69,0.343926978734426,0.809,0.623,5.16404339064861e-65
"KLK10",5.63913773191596e-69,0.377255994742851,0.364,0.207,7.8778754114866e-65
"HIST1H1C",9.22122492977068e-69,0.331427477265386,0.54,0.344,1.28820512268896e-64
"CDKN2A",1.05258224226955e-68,0.288652998967051,0.238,0.11,1.47045739245056e-64
"IGLC2",1.97345084337292e-68,0.999867813560858,0.663,0.438,2.75691082819197e-64
"FOS",4.53232791878293e-68,0.332907506536796,0.953,0.788,6.33166210253975e-64
"RHOC",1.7728892007797e-67,0.333958251459195,0.935,0.783,2.47672621348924e-63
"IGFBP2",5.00619765012328e-67,0.500426066303021,0.783,0.655,6.99365811722223e-63
"CEACAM1",5.22573101650308e-67,0.325961767632927,0.666,0.483,7.3003462300548e-63
"HMGCS1",1.943920611207e-66,0.263830101450026,0.691,0.487,2.71565709385617e-62
"MYL12B",4.32846477535669e-65,0.268401965866921,0.981,0.91,6.0468652911733e-61
"IRS2",6.5274923181216e-65,0.497668876803957,0.684,0.511,9.11890676841588e-61
"JUN",7.96299928006773e-65,0.277953777533055,0.966,0.843,1.11243099942546e-60
