"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PLPP1",5.62382029084213e-62,0.652436793173816,0.242,0.062,1.89489000879635e-57
"ADD3",5.73772484358233e-62,0.273638967925354,0.721,0.364,1.93326900879663e-57
"ATXN2",5.92942006758965e-62,0.341111856312153,0.425,0.164,1.99785879757366e-57
"ERVK3-1",5.95264234428214e-62,0.680408267262234,0.209,0.044,2.00568331148243e-57
"NFIA",6.22611163676961e-62,0.286195320439123,0.59,0.271,2.09782605489315e-57
"TP53BP1",6.23944939478857e-62,0.622364227935117,0.227,0.053,2.10232007908006e-57
"PTK6",6.46208046215064e-62,0.362959169183827,0.441,0.179,2.17733339091704e-57
"MYO9B",6.4864035261581e-62,0.463846549776067,0.311,0.099,2.18552880410371e-57
"RRM2",6.60638163798807e-62,0.799865317390482,0.325,0.12,2.2259542291037e-57
"CASZ1",7.07544158483539e-62,0.61080692903617,0.289,0.087,2.38399928759444e-57
"STK17B",7.13326496536661e-62,0.397343517529892,0.382,0.141,2.40348229743062e-57
"CDKN3",7.23357188020729e-62,0.565415945066123,0.421,0.182,2.43727970931705e-57
"METTL3",7.36086522159089e-62,0.514569163144984,0.238,0.059,2.48016992776283e-57
"SMG9",7.64820529263223e-62,0.773162549729885,0.227,0.053,2.5769862912995e-57
"LMNA",7.80438967676431e-62,0.532206149752453,0.985,0.811,2.62961105768897e-57
"ITGA2",7.86478446915016e-62,0.415782726672594,0.529,0.238,2.64996047903546e-57
"UPF3A",8.23948743601578e-62,0.307420072776956,0.757,0.39,2.77621289669116e-57
"STIM2",8.26561498254965e-62,0.592530705631449,0.27,0.077,2.78501631222028e-57
"CLIC4",8.5922770484755e-62,0.39598497602696,0.348,0.122,2.89508182871333e-57
"PARN",9.002532071795e-62,0.380816114087025,0.294,0.089,3.03331315627061e-57
"ECHS1",9.04469624752915e-62,0.402983244825648,0.942,0.681,3.04751995364247e-57
"ZNF451",9.39437856953768e-62,0.348828955286158,0.394,0.146,3.16534191522003e-57
"HSH2D",1.03359792084735e-61,0.650201376677739,0.269,0.077,3.48260483450307e-57
"MAN1A2",1.04308722999123e-61,0.287240211725536,0.51,0.214,3.51457811273246e-57
"USP54",1.04440062154871e-61,0.646877689328761,0.242,0.062,3.51900345424623e-57
"CCHCR1",1.04445179115418e-61,0.410933127423319,0.341,0.116,3.51917586511491e-57
"YDJC",1.07050786505588e-61,0.309414079375188,0.741,0.38,3.60696920051928e-57
"UHRF1",1.07206435531021e-61,1.07396822710415,0.185,0.032,3.61221363878222e-57
"MFSD6",1.07985596944299e-61,0.453157879862769,0.383,0.142,3.63846670344121e-57
"ASCC3",1.11885392589495e-61,0.282874921439579,0.375,0.135,3.76986641791043e-57
"ZNF33A",1.12519620114874e-61,0.307127944843153,0.359,0.126,3.79123608015056e-57
"EGFL7",1.12823771579432e-61,1.28349977614382,0.207,0.046,3.80148415959737e-57
"C1orf116",1.15638439502286e-61,0.722972105581003,0.373,0.143,3.89632158059002e-57
"LDLRAP1",1.15862900316012e-61,0.469523515295634,0.329,0.11,3.90388456324769e-57
"SQLE",1.16823548212159e-61,0.396342321560208,0.712,0.391,3.93625263346049e-57
"HPCAL1",1.19907853575832e-61,0.432737773177636,0.725,0.373,4.04017521838409e-57
"FBXO9",1.2335900209245e-61,0.381754178235217,0.374,0.135,4.15645821650302e-57
"NENF",1.34089339715355e-61,0.405705696222066,0.974,0.738,4.51800621236917e-57
"SLC5A6",1.35044772708135e-61,0.418158313906473,0.511,0.224,4.55019857162789e-57
