"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SPINT2",5.60647116881562e-76,0.309672754809814,0.922,0.912,9.15200353597462e-72
"HEPACAM2",7.61999169518217e-75,0.274691169760897,0.113,0.033,1.24388744432154e-70
"FTL",6.68787361804116e-74,-0.314347539457295,0.983,0.996,1.09172848940904e-69
"PHGR1",4.80958767793122e-73,-0.258014521270136,0.829,0.933,7.85117092545493e-69
"C20orf27",4.91972137219424e-73,-0.323158885906402,0.599,0.658,8.03095316796987e-69
"KRT17",1.91211571335035e-72,1.17270206058097,0.283,0.155,3.12133769047311e-68
"LCN15",9.08767734010113e-72,-0.620589305276465,0.095,0.214,1.48347244899811e-67
"CTSD",1.28808558610583e-71,0.26664440123178,0.86,0.761,2.10267091075916e-67
"SERPINB5",3.48405112361742e-71,0.406870303553192,0.456,0.324,5.68736505419308e-67
"BLVRB",9.0785085230061e-71,0.250097441586832,0.745,0.613,1.48197573129552e-66
"TMEM230",1.09296649666451e-70,-0.335736917725334,0.802,0.799,1.78415850915514e-66
"FBL",1.73611030180597e-70,-0.258188463549991,0.81,0.838,2.83402645666807e-66
"RPL22L1",1.25055118009662e-69,0.461308418327304,0.851,0.787,2.04139974638971e-65
"FCGBP",1.27969552025221e-69,0.87253956693717,0.16,0.067,2.0889749672597e-65
"ERO1A",1.49369599791392e-69,0.30223803274562,0.663,0.504,2.43830934699469e-65
"SON",1.63882602542388e-68,0.341021024959421,0.842,0.705,2.67521960390194e-64
"PSMA7",3.21223412743767e-68,-0.258484225820379,0.919,0.945,5.24365098962925e-64
"SEC11C",9.02776674625062e-68,0.264062856496575,0.783,0.658,1.47369264365795e-63
"GRN",1.55306457430694e-67,0.26068322930866,0.823,0.704,2.53522261109864e-63
"FERMT1",2.68865713805505e-67,-0.268620794402391,0.712,0.744,4.38896391216106e-63
"HSP90B1",5.801084815176e-66,0.387236281358142,0.91,0.881,9.4696908522933e-62
"FKBP1A",6.93675817406669e-66,-0.322104191447369,0.856,0.844,1.13235640433465e-61
"PERP",2.87549493660006e-65,-0.35969659095014,0.928,0.93,4.69395793450594e-61
"ITPA",3.14633700982855e-65,-0.296023743845697,0.676,0.695,5.13608053484413e-61
"FABP1",5.44554029151036e-65,-0.320605022941291,0.54,0.708,8.88929997186152e-61
"AMN",8.96920699796673e-65,0.337272395855004,0.505,0.366,1.46413335034809e-60
"TMSB4X",1.2233438484225e-63,-0.271827255701891,0.997,0.999,1.99698649816489e-59
"CLTB",1.47364500312438e-63,0.27948453224332,0.863,0.78,2.40557810310024e-59
"AGR2",2.82352576111891e-63,0.98426338914394,0.9,0.896,4.6091234524505e-59
"RSL1D1",7.07326180115348e-62,-0.262895542150187,0.822,0.831,1.15463925642029e-57
"KRT19",1.00312321997883e-61,0.548237888945403,0.947,0.943,1.63749834429345e-57
"CXCL3",6.10151706050903e-61,-0.98164721334991,0.809,0.803,9.96011644957495e-57
"ACADVL",2.20146596245455e-60,0.259365198956352,0.77,0.628,3.5936730371108e-56
"CYCS",3.65142776427794e-60,-0.25678986207827,0.914,0.936,5.96059068240731e-56
"SOD3",4.25425095642079e-60,0.617820186444563,0.591,0.465,6.9446392612613e-56
"CD59",3.50110847988687e-59,0.418724865099016,0.828,0.724,5.71520948256733e-55
"MT-ND5",1.03143027129584e-58,0.295876925780421,0.965,0.929,1.68370677486333e-54
"CALM1",9.77691784456371e-58,0.322929706685863,0.906,0.896,1.59598406894658e-53
"GLUL",6.13916699107798e-57,0.291222587163959,0.71,0.568,1.00215761962357e-52
"SERPINB1",6.57793513736891e-57,0.3220695149713,0.856,0.798,1.0737821318241e-52
"HIST1H1C",1.61866243902828e-55,0.400410373548078,0.479,0.335,2.64230456546977e-51
"GOLM1",1.02587902302639e-54,0.303733507955198,0.642,0.519,1.67464491718828e-50
"SERINC2",1.90933611945829e-54,0.309565022921035,0.782,0.661,3.11680028140371e-50
"PDIA4",3.36530647169547e-53,0.264203136453134,0.823,0.716,5.49352628439569e-49
"CD44",5.89885248648016e-53,0.295548390731083,0.776,0.677,9.62928679893022e-49
"CDKN1A",1.22408169315846e-52,0.297300117199731,0.733,0.607,1.99819095591187e-48
"MT-ND4L",5.36890772045754e-52,0.32533681236314,0.892,0.824,8.7642049628749e-48
"S100A16",5.44189486803246e-52,0.52233751254664,0.867,0.833,8.88334918257618e-48
"P4HB",2.40354371809755e-51,0.258112243801007,0.904,0.878,3.92354476542244e-47
"MYDGF",9.62854811460092e-51,0.251259590439694,0.887,0.841,1.57176419422745e-46
"PNISR",1.37839863353286e-50,0.270040359489198,0.727,0.583,2.25009792937904e-46
"IGFBP2",3.29726787166004e-50,0.532695049598391,0.716,0.663,5.38246007369785e-46
"MT1X",1.91435952389721e-49,0.341191478089226,0.573,0.446,3.12500048680981e-45
"RNF213",1.29488300877036e-48,0.27417661263319,0.587,0.437,2.11376702351673e-44
"KCNQ1OT1",1.43450124858238e-48,0.268530338022876,0.512,0.374,2.34167983818588e-44
"IGHA1",4.6283343118602e-48,0.341124682637705,0.596,0.46,7.5552929306806e-44
"LAMB3",5.52121643378016e-48,0.376702008101653,0.694,0.57,9.01283370650273e-44
"MUC13",8.2519686492624e-48,0.377809327875125,0.821,0.719,1.34705136230559e-43
"S100A14",3.57736885853375e-47,0.407922950516377,0.874,0.848,5.83969692467049e-43
"DDIT4",1.88147890537077e-46,0.434375459664529,0.707,0.601,3.07132616512724e-42
"TIMP1",2.96168253093186e-46,0.522734882927002,0.869,0.803,4.83465056349317e-42
"BTG1",3.49957829417482e-46,0.261807018616026,0.904,0.826,5.71271160741098e-42
"LYZ",4.98709551364334e-46,0.86110220783821,0.532,0.405,8.1409347164714e-42
"HMGCS1",5.98157830119088e-46,0.25643001807526,0.622,0.482,9.76432841886399e-42
"SDF2L1",2.19153355081117e-45,0.338987687764689,0.766,0.66,3.57745936834415e-41
"LMNA",3.20764400724646e-45,0.331618578426598,0.906,0.855,5.23615807742912e-41
"HERPUD1",3.62766559348612e-45,0.386134002202924,0.824,0.739,5.92180131480674e-41
"MALAT1",5.16997555335879e-45,0.691778817442969,0.993,0.973,8.43946809330288e-41
"BRD2",8.60490083549465e-45,0.304620469615984,0.833,0.721,1.40466401238615e-40
"CCNL1",9.55531727670966e-45,0.266958094498502,0.866,0.77,1.55980999225008e-40
"UBB",4.02362481560231e-44,0.457311684364342,0.95,0.96,6.56816514898921e-40
"TPM1",4.6801683793868e-44,0.252556282784665,0.907,0.851,7.63990686251101e-40
"NDRG1",9.45026162188384e-44,0.25107005562369,0.572,0.434,1.54266070715632e-39
"HSPH1",2.51304312045776e-43,0.390545224296237,0.8,0.708,4.10229158983525e-39
"CSTB",1.65404445005522e-42,0.405419857028639,0.923,0.916,2.70006216027014e-38
"PRAC1",4.46481345390117e-42,-0.307282564168748,0.35,0.455,7.28836148214827e-38
"TFF3",7.57149727413697e-42,0.710586320068441,0.951,0.938,1.23597121503012e-37
"FUS",3.04606443196564e-41,0.266812622040915,0.892,0.814,4.97239557874071e-37
"CXCL2",5.64270618652006e-41,-0.682060270477334,0.733,0.73,9.21115357887535e-37
