"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"THY1",1.37183849161396e-11,-280.615818860964,0.029,0.815,4.52610673538194e-07
"APOC1",9.46624469334128e-11,Inf,0.971,0.537,3.12319811167409e-06
"SBSPON",1.8609548272587e-10,-310.954704171103,0.088,0.796,6.13984826157462e-06
"VCAN",4.04688770773659e-09,-Inf,0.382,0.907,0.000133518966141353
"TYRP1",9.44292249141137e-09,Inf,0.618,0.074,0.000311550341759135
"A2M",9.6896008497452e-08,Inf,0.765,0.241,0.00319689000835643
"RNA5-8SP6",1.13719610765927e-07,196.696476083341,0.882,0.5,0.00375195111800022
"SCIN",2.02857998348471e-07,547.4475297407,0.588,0.093,0.0066928939395111
"SEMA3E",2.05039832365982e-07,-74.352717465313,0.147,0.722,0.00676487918925084
"ZFAS1",3.18084215449004e-07,Inf,0.971,0.981,0.010494552520309
"LOC100128906",4.31715812424444e-07,711.906168273661,1,1,0.0142435997993197
"F2RL2",6.39694953128418e-07,-Inf,0.176,0.741,0.0211054555885659
"GASK1B",6.50987679775307e-07,-Inf,0.441,0.944,0.0214780365188267
"GIGYF1",7.53577636348902e-07,140.528105008851,1,0.889,0.0248627869560593
"RPL23AP18",1.01470281672328e-06,12.9356996491662,0.647,0.148,0.0334780900321511
"GNAT3",1.05988603923485e-06,35.2921056422483,0.529,0.963,0.0349688200924753
"RNA5-8SP2",1.09767406008875e-06,12.9714735629932,0.676,0.167,0.0362155602645082
"NDUFB2",1.42778477877876e-06,Inf,1,1,0.0471069032062477
"DLX1",1.71495226833584e-06,-158.02902982879,0.088,0.63,0.0565814201892043
"TFAP2A",1.72804873377247e-06,Inf,0.941,0.944,0.0570135118733551
"PDE7B",2.68333859053183e-06,-140.716689183831,0.412,0.889,0.0885313901174166
"ZEB1",3.71433808221001e-06,-267.67367370837,0.118,0.611,0.122547156346355
"MS4A7",4.03716090234112e-06,Inf,0.618,0.185,0.13319804965094
"ENPP1",5.67820517254645e-06,-345.579319655671,0.147,0.667,0.187341023257825
"S100A13",5.90567677095703e-06,245.92200992278,1,1,0.194845993704185
"ZFP36L1",6.42010186568678e-06,Inf,1,1,0.211818420854604
"UNC5C",6.63179624401068e-06,-207.080661227098,0.471,0.907,0.218802853478644
"LOC647132",6.76408818058534e-06,96.5637028901786,0.559,0.13,0.223167561342052
"SLC2A12",6.93034237202654e-06,-65.7758741463799,0.029,0.519,0.228652785880272
"TGM2",6.99388066408409e-06,-273.444633549314,0.147,0.685,0.230749104750127
"TAF6",1.02284165342096e-05,-54.0897704520758,0.382,0.833,0.337466146713176
"PRKCI",1.25006287381479e-05,13.6516800289138,0.294,0.778,0.412433243957713
"VAMP2",1.4975921172179e-05,105.984072441806,0.971,0.796,0.494100567233702
"SKP2",1.57944062813696e-05,-220.064916591031,0.647,0.944,0.521104846441227
"NRP1",1.58751559912057e-05,12.2089849869309,0.235,0.722,0.523769021617848
"MTND6P4",1.5881553273258e-05,113.197637850307,1,1,0.523980087144602
"RPL36",2.17203550105145e-05,Inf,1,1,0.716619672861905
"NREP",2.36497717920129e-05,-Inf,0.765,0.981,0.780276920733882
"PLAC9",2.58373304863063e-05,-57.0405550063154,0.294,0.815,0.852451044734703
"WIPF3",2.77661328299003e-05,258.92572964143,0.294,0,0.9160880204569
"GPR143",2.88019192758784e-05,253.139056816482,0.794,0.426,0.950261722669056
"RGS4",3.2603916898277e-05,-Inf,0.324,0.833,1
"MKRN1",3.42756620712044e-05,Inf,0.882,0.63,1
"PSAT1",3.52079597516526e-05,244.482886571148,0.059,0.5,1
"POGLUT3",3.69865832078454e-05,-18.0876108706635,0.471,0.889,1
"TIMP1",3.75387051462828e-05,Inf,1,1,1
"FAM171B",3.76144410828716e-05,-78.2381965656143,0.059,0.481,1
"DYNC1I1",3.95160160846103e-05,-269.10685978536,0.353,0.852,1
"PLEKHA5",4.33631720410041e-05,558.990405484942,0.912,0.833,1
"TBCK",4.42172184505105e-05,-139.264306105361,0.441,0.796,1
"MACROD2",4.56109128923464e-05,-68.5819373017567,0.559,0.963,1
"STARD4",4.77174082616273e-05,-58.4733838185449,0.235,0.704,1
"TMEM229B",4.82414782155717e-05,-144.931342399839,0.029,0.426,1
"ADAM12",4.94973091825438e-05,-169.570106275276,0.382,0.796,1
"PEX13",5.40265711353392e-05,-20.9730009524213,0.206,0.667,1
"MT2A",5.50824179314599e-05,Inf,0.971,1,1
"CDC5L",5.5766639560656e-05,-393.005203089692,0.794,0.981,1
"MTRNR2L1",5.61216859191347e-05,98.4342220129289,0.941,0.907,1
"APOE",6.0511226659345e-05,Inf,1,0.944,1
"ARHGEF6",6.47379489496359e-05,-Inf,0.324,0.741,1
"PJA1",6.77155668833821e-05,-122.031750545814,0.618,0.944,1
"ALDH4A1",7.22201449151957e-05,3.0492965483063,0.029,0.444,1
"SLC26A4",7.39334077351073e-05,-72.9100224244267,0.147,0.593,1
"PRRG3",7.48111043778733e-05,47.9650718900812,0.5,0.148,1
"LIMCH1",7.51252005844868e-05,-46.9415116884227,0.294,0.815,1
"TET1",7.61017478412461e-05,-429.25569632373,0.353,0.741,1
"PET100",7.79366889215957e-05,82.8898347130526,0.912,0.907,1
"LGALS3",7.91014990052505e-05,Inf,0.941,0.926,1
"TUBB2A",8.24433046026588e-05,240.15431749857,0.647,0.963,1
"SREBF2",8.8883910548733e-05,-85.8942777922765,0.088,0.537,1
"DPYSL3",9.06739190481047e-05,-191.211015776847,0.206,0.63,1
"KLHL22",9.15894257296749e-05,-235.934562044877,0.618,0.907,1
"TRDMT1",9.84589422769226e-05,-45.319283185587,0.265,0.685,1
"ADGRL4",0.000101716423540365,103.098772564087,0.382,0.056,1
"TIPIN",0.000108033338838854,-71.4673273835424,0.147,0.574,1
"RPL5P8",0.000109365156859058,10.5792576053353,0.382,0.056,1
"RPL10P3",0.000109950528673186,33.7309137477793,0.824,0.5,1
